agnurspsbupano_f, agbroadcrpallaha_f, agothcrop_ahacan_f, mangoes_yield_f, sorghum_yield_f, agfloerupano_f, agfrutmcdmakg_f, mushrooms_yield_f, agewesmateanooth_f, agvegecapsakgund_f, agfrutothorctnb_f, sugarcutcrushing_yield_f, canola_yield_f, agdaircales1_f, agfloers_aha_f, tomatoesmku_yield_f, agbeefcatlano_f, agfrutolivtnb_f, mandarins_yield_f, tomatoesmko_yield_f, aglambslt1ano_f, agfrutothnutttb_f, agfrutothstre_f, agcereal_ahamai_f, agdaircowsano_f, peasfreshmkt_yield_f, agvegeonioaha_f, agfrutapptba_f, apples_yield_f, cotirrigatedlint_yield_f, agfrutmacatba_f, agbewesothge1ano_f, potatotot_yield_f, agfrutothcittr_f, agcereal_atooat_f, capsicumtot_yield_f, agvegepotaatopro_f, agfrutothcittba_f, agvegepotaaha_f, agturfrollupano_f, agfrutchertnb_f, agvegecapsam2und_f, agvegebrocakg_f, agfrutmacnum_f, agnursery_ahaout_f, agnurseryundaha_f, agsheeplmbano_f, agfrutnecttnb_f, aglandtotlaha_f, agothcrop_akgpnt_f, pasture_hay_yield_f, agvegeletahaout_f, agvegecapsakg_f, othpulses_yield_f, agfrutavotba_f, agvegecaulato_f, agcottlintakgnon_f, agdairy_ano_f, agfrutnutotaha_f, ageggprodado_f, agothlstokanohld_f, agvegbeanaha_f, grapeswine_yield_f, agfrutothpomtba_f, agvegecornato_f, caulifloers_yield_f, agvegecabbato_f, agfrutaprtnb_f, agbeefcalle1_f, agpasceothsilato_f, agfrutpeactnb_f, agpigs_ano_f, agpigbsow_ano_f, agfrutothcittnb_f, agothcrop_ahaoil_f, agfrutnecttba_f, lettuceund_yield_f, agcereal_atooth_f, onions_yield_f, agpasthay_aha_f, agothcrop_atoopu_f, agfrutpeactba_f, agsugnfcrushaha_f, agvegecarrato_f, pineapples_yield_f, agvege_aha_f, aggrape_ahanyb_f, agbewes1ano_f, agcatldispano_f, agfrutalmnum_f, agfrutavotree_f, agfrutcherakg_f, agvegeletakgout_f, agfrutstrwahabea_f, oth_hay_yield_f, bananas_yield_f, agvegelettakg_f, cabbages_yield_f, agfloersundaha_f, agvegecaulaha_f, agfrutothorctba_f, agbeefallot_f, capsicumund_yield_f, agcottlintakgirr_f, agothcrop_atocan_f, cherries_yield_f, agvegepeasakgpro_f, agnurshvupano_f, aggrapewinahanyb_f, agcereal_atomai_f, agfrutmangtnb_f, lettucetot_yield_f, aglucrnhay_ato_f, aggrape_aha_f, agdairallot_f, agvegetomaahamko_f, agfrutmangakg_f, agfrutmantree_f, agvegemushakg_f, agfrutothnum_f, agvegepeasakgmkt_f, agvegecapsaha_f, rice_yield_f, agfrutotsttba_f, aggrapeothaha_f, dairy_totcattle_rt_f, agfrutmandakg_f, cereals_hay_yield_f, sweetcorn_yield_f, nectarines_yield_f, sa4_name16, agdairheifanogt2_f, agfrutorngtnb_f, agothsheepano_f, agfrutpineato_f, agfrutaprtre_f, cottontot_yield_f, potatoespro_yield_f, agpigbopigano_f, agfrutapplakg_f, brussels_yield_f, agvegemusham2_f, agothcrhayato_f, agfrutapptree_f, agvegepotaahamkt_f, broccoli_yield_f, peaches_yield_f, aggrapewinahabea_f, agvegemelnaha_f, agfrutalmoakg_f, agfrutnaspearakg_f, agvegecabbaha_f, agcereal_ahawht_f, carrots_yield_f, triticale_yield_f, agcottlintakg_f, aggrapeothahanyb_f, agothcrop_ahaopu_f, apricots_yield_f, agfrutalmotba_f, agcottpltdahairr_f, aggrapewinaha_f, lucerne_yield_f, capsicumout_yield_f, agvegebrusakg_f, agothpltryano_f, agfrutnectree_f, agpasthay_ato_f, agchickensanolay_f, agbeefcowsano_f, agfrutorngakg_f, ageweslmbmark_f, agfrutotsttnb_f, agfrutmandtre_f, oats_yield_f, agdairheifanole2_f, agewesmateanomer_f, agvegetomaato_f, agvegecapsahaout_f, agcroptotaha_f, agfrutothpomtr_f, agsugarcrsaha_f, meat_totcattle_rt_f, peanuts_yield_f, agfrutolivtba_f, agcereal_atosor_f, aglucrnhay_aha_f, tomatotot_yield_f, agothcrhayaha_f, agvegeletam2und_f, agfrutnaspeartnb_f, agpascrhayaha_f, agfrutothrahanyb_f, strawberries_yield_f, agothcrop_aha_f, agchickensanomea_f, agcereal_atotri_f, agvegepeasahamkt_f, agnursbpcupano_f, agfrutbanaato_f, agfrutoorcano_f, agfrutpeatree_f, agvegebrocaha_f, agsugarcrsato_f, agvegepumpaha_f, agorchardsaha_f, agfrutbanaaha_f, agfrutmandtnb_f, agfrutorcba_f, almonds_yield_f, agvegetomaam2mku_f, aggrape_ato_f, agothcrop_ahapnt_f, cotnonirriglint_yield_f, aggrapeothahabea_f, agcereal_atobar_f, agcereal_atowht_f, agcottpltdahanon_f, agfrutothpomtnb_f, agnursfnvupano_f, agvegepeasakg_f, grapestot_yield_f, agfrutpineaha_f, oranges_yield_f, agfrutpineahabea_f, agvegbeankg_f, agfrutavocakg_f, agvegetomaahamkt_f, agfrutstrwakg_f, agfrutapriakg_f, agpasceothsilaha_f, agfloers_ahaout_f, agvegepotaato_f, agothchickenano_f, agfrutalmotnb_f, agfrutothrahabea_f, aglambmarked_f, agvegepeasaha_f, agvegemelnato_f, agvegetomaahapro_f, agfrutorcnyb_f, agsugarcanaha_f, macadamias_yield_f, agfrutnasptree_f, agnursinplupano_f, agpascrhayato_f, agcereal_ahatri_f, agvegeletakgund_f, agfrutorngtba_f, agfrutorngtree_f, agbewesmerge1ano_f, aggrape_ahabea_f, agcottpltdaha_f, agcereal_aharic_f, agcerehay_ato_f, agcerehay_aha_f, agfrutchertree_f, agfrutavotnb_f, agfrutpechakg_f, agvegeonioato_f, silage_yield_f, agnurspropupano_f, agcereal_ahasor_f, peastot_yield_f, agfrutmacatnb_f, agcereal_ahabar_f, pears_yield_f, agfrutpineahanyb_f, agvegepeasahapro_f, agfrutnectakg_f, agfrutolitree_f, agvegepumpato_f, agvegepotaatomkt_f, agcereal_atoric_f, agfrutothnuttnb_f, agvegetomaaha_f, agnursery_aha_f, othroilseeds_yield_f, tomatoespro_yield_f, aggrapewinato_f, wheat_yield_f, olives_yield_f, peasprcs_yield_f, lettuceout_yield_f, agvegeoth_aha_f, agfrutolivakg_f, agvegebrusaha_f, grapesoth_yield_f, agfrutmangtba_f, agfrutapptnb_f, potatoesfresh_yield_f, aglambmarkmerano_f, agfrutothha_f, othcerealgrnseed_yield_f, agfrutorctot_f, agvegepotaahapro_f, agvegetomaatopro_f, aggrapeothato_f, melons_yield_f, agfrutmandtba_f, agvegetomaakgmku_f, agvegetomaatomkt_f, agvegetomaatomko_f, agvegecapsakgout_f, aglambmarkothano_f, avocados_yield_f, agfrutchertba_f, agcereal_ahaoat_f, maize_yield_f, agfrutbanaahabea_f, agvegecornaha_f, agfrutbanaahanyb_f, agfrutaprtba_f, beans_yield_f, sa4_code16, agothcrop_atooil_f, pumpkins_yield_f, agvegelettaha_f, agturf_aha_f, agfrutnaspeartba_f, agvegecarraha_f, barley_yield_f, agnursptsupano_f, agnurflwtuaha_f, agcereal_ahaoth_f
null,36,null,null,null,4534,null,35,null,null,null,null,null,null,19,null,3669,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,66,null,null,null,35954,null,null,null,null,null,null,null,null,null,null,1111795,null,null,null,null,null,null,null,null,842,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1117,null,null,null,null,3669,null,null,null,609949,null,null,null,609949,null,7,null,null,780,null,null,null,null,null,176,null,null,null,null,150,null,null,null,null,null,102189,null,null,null,null,null,null,null,null,null,null,null,"Brisbane - East",null,null,null,null,null,null,null,null,null,null,2907,null,null,null,null,null,null,null,null,null,null,null,37,null,null,null,null,null,null,null,null,6,null,null,null,null,null,55245,2047,null,null,null,null,null,null,null,null,null,280,null,null,100,null,null,null,26,null,null,null,null,26,null,null,36,1457203,null,null,1316,null,null,null,null,null,30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11,null,46065,null,null,null,null,null,null,null,null,null,null,931,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1431,null,null,null,null,null,null,null,null,null,550,null,null,null,null,null,null,null,null,null,null,null,null,16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"301",null,18,null,null,null,30,null,25812,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56,null,null,null,null,null,null,null,null,null,null,366625,14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Brisbane - North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18223,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"302",null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,203,null,null,null,null,2,1,null,null,null,null,null,57,null,null,null,null,null,null,null,null,null,null,null,null,null,null,355,null,13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38,null,null,null,1419934,null,null,null,1419934,30,null,null,null,15,null,null,null,null,null,null,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Brisbane - South",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,9,null,null,null,null,null,null,null,null,null,88,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,null,null,null,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"303",null,null,57,null,null,null,null,59,null,null
null,null,null,8,null,null,null,null,null,null,40,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,96,null,null,null,null,null,769,null,null,null,20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,809,null,null,null,null,null,null,null,null,null,769,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4250,506,null,null,null,null,null,null,null,null,null,null,null,null,"Brisbane - West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,809,null,null,null,null,20,null,null,2044,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12749,null,null,null,null,null,null,null,null,null,null,null,null,null,81,null,null,null,59,null,null,null,null,null,null,null,null,null,null,null,null,40,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,506,null,null,null,null,null,2125,null,null,null,null,null,null,null,null,null,null,17,null,null,null,null,null,null,null,null,"304",null,null,null,null,null,null,null,null,1,null
null,91577,null,31,null,785,257121,null,null,null,49983,95,null,null,null,null,108028,null,null,null,10,null,null,1996,null,null,null,null,null,null,20570,null,null,96090,null,null,null,81526,859,1070,null,null,null,24169,37,19,100,null,null,3204604,29,null,null,1,null,null,null,null,15939,1637608,12310,null,1,null,null,null,null,null,null,8818,null,13,3,14563,349,null,null,515,null,null,286,null,9461,null,40,null,null,null,128924,null,null,null,null,null,8,32,null,null,4,null,138770,35158,null,null,null,null,null,null,null,15957,null,null,76,null,905,null,1849395,null,null,null,null,null,null,null,null,null,null,null,null,null,"Cairns",1625,null,90,897,null,null,null,10,null,null,null,2028,null,663,null,null,null,12,null,null,null,null,null,null,null,null,386,null,null,null,null,3,null,null,77,null,53767,94968,null,null,null,null,10,null,4376,null,null,null,111262,null,77668,84,4513,null,482,25,null,243,null,null,null,14,null,568,null,null,null,null,403031,188752,null,null,7343103,151,null,12990,10,null,null,null,null,710,null,null,null,null,null,null,null,null,1,73,null,22,null,null,null,null,null,240,null,null,8766,null,156,28,null,151,null,105065,87129,13,null,1775,55871,null,null,null,null,null,null,null,60,null,null,null,36909,null,null,null,367,186,null,3600,null,null,51,null,null,null,2896,13768,148,null,null,56,null,null,null,null,null,null,null,103,null,null,null,null,null,null,null,170,3,null,196,null,null,13,null,null,null,null,null,28,61,null,null,8,12445,null,546,null,null,"306",824,19,null,null,null,null,null,6511,260,193
null,264898,null,11,2,null,1942492,null,153,null,8846,null,null,2198,null,null,1987777,null,17,null,822,null,null,6568,5140,null,null,null,null,2062,214037,1098,null,7928,146,null,null,7928,null,336,null,null,2451,222063,45,null,2131,null,9647937,3519131,null,null,null,2,25158,null,null,9214,null,1458571,17564,313,7,null,null,null,null,null,455990,null,null,null,null,null,null,null,null,null,null,3440,174096,null,null,null,null,null,18,1098,1996991,null,27034,null,null,0,3,null,null,null,null,null,7685,561297,null,null,null,null,null,null,18,29383,12198,null,15371,984,242,null,333345,43127,null,null,null,null,null,null,874,0,428207,3,null,null,"Central Queensland",568,null,210,18171,null,1569,null,null,null,null,null,null,null,null,11520,null,92,77,null,null,null,82991,null,null,null,null,96835,null,null,null,110,null,null,null,273,null,26224,63521,970490,null,153,null,36500,0,1067,null,null,null,288508,null,null,100,5907,null,null,1465,null,null,null,null,17485,null,12000,2803,null,null,null,null,null,16530,null,0,null,60,1117,null,11500,310737,null,null,5068,596,null,874,14633,null,null,null,246,null,5,850,null,484,250092,18297,null,2554,null,2518,null,null,14420,null,null,142,null,3552,null,42445,null,9,null,null,null,null,null,null,null,null,966,null,null,33028,9823,null,1877,null,null,null,438,null,null,null,6341,null,366,null,null,null,1536,null,null,null,null,null,0,null,645,2,null,null,null,null,null,null,5,30929,null,null,null,null,1,null,null,null,4423,46,25000,null,null,null,null,142,1,null,979,4,null,null,null,null,800,"308",null,26,null,null,null,null,2,5198,null,null
124,3347,null,null,null,1163,null,35,null,null,null,87,null,175,5,null,1294,null,null,null,null,null,null,null,560,null,null,null,null,null,null,null,null,null,null,null,null,null,null,462,null,null,21986,null,null,null,null,null,92414,null,null,null,null,null,1622,null,null,986,114,1188000,553,null,null,null,null,null,null,null,277,null,null,null,null,null,null,null,null,null,null,null,null,null,1045,null,null,null,null,null,2280,null,2232,null,null,null,8,null,null,null,5,null,666,63,null,null,null,null,null,1146,null,null,null,null,null,null,7,null,null,null,590483,null,null,null,null,null,null,43,null,null,null,null,"Gold Coast",70,null,null,null,null,null,null,null,null,null,16800,18780,null,null,8251,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50000,953,null,null,null,null,null,175,null,null,null,6006,null,2302,57,null,null,null,null,null,2347,null,null,2347,null,null,null,null,null,null,null,null,666,null,3,199606,null,30,49,null,2288,null,null,null,null,null,null,null,null,null,null,241,null,null,null,null,null,null,77572,null,null,null,null,null,null,10000,null,35,null,null,null,null,610,3347,null,null,119,18780,null,null,null,null,null,null,null,null,null,null,null,610,null,null,null,4332,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35,null,2898,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19,null,null,"309",null,null,null,null,null,null,null,10910,null,null
null,3774,14,9,5,20,null,null,27,null,null,null,2,3469,null,null,null,null,null,null,null,3000,null,595,7449,1333,262,null,null,null,null,27,26,7994,9,null,2700,7994,null,null,null,null,7332316,null,15,null,34,null,null,null,null,null,null,null,9229,null,null,15303,213,null,9711,1004,null,null,19361,13,null,null,29781,23661,null,2841,300,null,257,null,null,null,55,1378,2687,null,null,34809,null,7233,null,27,null,null,10229,null,null,4,11,null,null,null,null,69,393,26809,null,null,28,null,null,null,null,5131,null,null,36399,null,212,null,66617,7328,null,3000,12626,null,null,null,null,12,null,2,11,null,"Ipswich",773,null,7,null,null,null,27,2541,null,null,null,4083,null,27,8418,null,null,90,null,null,268,204,38,null,null,null,1537,null,null,null,null,14,null,null,null,null,7034,null,null,null,27,null,null,1,3400,null,null,null,null,null,null,88,null,4018,2326,null,null,367,null,null,null,null,48000,76,null,null,9,12,null,393,null,871,null,null,208,null,null,31962,null,84891,null,null,null,null,2105,863,null,null,null,12626,null,null,null,null,6314412,550864,null,212209,null,2989,null,null,146912,null,null,24,9,632,null,1000,null,null,null,null,48901,null,null,null,null,null,null,null,null,null,593,null,1000,null,14294,8,6,507,1333,null,566,null,null,null,null,4018,null,668,null,null,null,null,null,null,null,null,0,null,null,null,0,null,null,7328,null,null,null,null,null,32962,100,null,null,7,null,1955856,null,null,null,24,60,null,18,9,null,1714,null,null,6288,"310",750,16,null,null,null,925,null,null,null,null
null,1177,null,null,null,562,null,27,null,null,null,null,null,1422,null,null,86968,null,null,null,null,null,null,150,7177,null,null,null,null,null,null,22,null,null,null,null,null,null,null,7722,null,null,null,null,null,null,28,null,165794,null,5,null,null,null,null,null,null,12652,null,null,1195,null,4,null,null,null,null,null,13969,11270,null,null,null,null,514,null,null,909,null,382,null,null,null,null,null,56,null,22,99621,null,null,null,null,null,3,null,null,null,4,null,null,27969,null,null,null,null,null,null,null,1178,null,null,9668,11,108,null,null,null,2597654,null,null,null,null,null,null,13,null,6,null,null,"Logan - Beaudesert",1711,null,6,null,null,null,null,null,null,null,97791,221,null,null,null,null,11,null,null,null,null,363,null,null,null,null,null,null,null,null,11,null,null,null,673,null,2069,null,45030,null,null,null,null,null,2234,null,null,null,3630,null,null,87,null,null,null,1129,null,89,null,null,1732,null,null,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40,null,null,null,null,1742,null,null,null,null,4,null,null,null,null,null,null,null,null,359,null,null,null,null,null,null,null,null,null,null,null,null,null,2,12734,null,null,null,null,null,11,null,null,775,133,null,null,null,null,31,9486,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,40,5,null,null,null,46,null,null,null,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8,null,null,null,null,null,"311",1454,null,null,274,null,null,null,100,294,144
null,280971,null,null,1,null,22000,null,null,null,null,80,null,null,null,null,null,null,69,46,95,null,null,1462,null,null,null,null,null,1337,5600,150,null,null,null,18442,null,null,null,424,null,null,null,5600,null,null,257,null,8299421,null,5,null,null,2,null,null,null,null,416,831215,null,667,null,null,4973,null,null,null,null,20962,null,27,null,null,1308,null,null,null,null,698,null,null,null,null,null,3671,null,150,null,null,null,null,null,1,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4680,null,null,null,null,null,895,null,null,null,null,null,null,8,null,null,null,2318,4,11,null,"Mackay - Isaac - Whitsunday",null,null,12,null,null,720,null,27,null,null,null,null,null,null,null,null,null,null,null,null,null,29814,null,null,null,null,null,null,null,null,null,22,18442,null,36,null,3706,34616,549329,1471,null,null,34,0,null,null,41114,null,287738,null,129569,100,null,null,null,null,46,null,null,null,null,null,1000,null,25,null,null,27,null,null,null,null,10374495,null,406,null,null,null,null,null,null,null,143,null,574,47365,null,null,null,null,null,null,44,null,2535447,null,895,1121,null,958,null,null,7230,null,2,null,null,null,null,null,146671,4,null,null,7330,null,null,34,34,null,null,null,54,null,null,null,null,null,null,22,1440,45179,null,null,281,null,null,null,null,null,4930,null,403,null,900,null,1,41,null,2,null,null,null,null,null,null,null,null,null,null,null,2,1,null,null,null,null,26,34,null,40905,40905,null,null,null,null,null,3,null,450,null,null,3799,"312",814,13,null,null,null,null,2,697,123,null
null,4,null,8,null,201,null,null,null,null,null,null,null,369,null,24,49310,null,null,null,null,null,null,null,3251,null,null,null,null,null,null,null,null,813,null,null,null,691,null,44883,null,null,null,null,80,null,null,null,143268,null,null,3,null,null,12893,null,null,4131,1650,null,336,null,null,null,null,null,null,null,13455,1859,null,null,null,121,null,null,null,null,null,56,null,null,null,null,36,4,null,null,53441,null,12931,null,79847,559,2,5,79847,null,null,null,null,11335,null,null,null,null,null,8696,null,null,100,26498,2844,null,12,null,null,null,null,null,null,null,null,null,null,8,null,null,null,null,"Moreton Bay - North",167,null,null,18813,null,null,null,null,null,null,null,8,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,283,300523,24520,null,null,null,null,null,331,null,null,null,3738,null,null,92,null,null,null,238,null,4,null,null,298,null,23656,4,null,null,null,2048,null,null,null,null,null,null,null,43,null,66509,null,null,null,null,null,null,null,null,null,null,null,null,null,801,null,529,null,473721,null,13222812,null,1505,null,null,null,null,null,null,null,null,null,1271,null,7,null,84,3136,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,1631,null,null,1012,null,null,271,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26498,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37,null,null,null,34,null,9,null,null,"313",null,null,3,null,null,null,null,49038,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,390,null,null,452,null,null,null,null,null,null,null,1350,null,null,null,null,null,null,null,null,null,null,null,null,null,null,603,null,null,null,null,6,null,null,null,1639,null,null,null,null,null,null,null,null,2372,null,null,151,null,null,null,null,null,null,null,285,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2824,null,null,null,null,null,null,null,null,null,null,null,null,111,null,null,null,null,null,null,null,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,84,null,null,null,null,"Moreton Bay - South",99,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56,null,null,null,null,null,526,null,null,null,66,null,null,16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"314",null,null,null,null,null,null,null,20070,66,null
null,null,null,48,3,null,null,null,137737,null,null,93,null,10,null,null,3856800,null,50,null,283359,null,6157,null,27,2545,10,null,null,null,null,null,null,null,null,null,null,null,null,132,null,null,null,null,null,null,1144562,null,92720003,null,8,null,null,null,60801,null,null,43,4243,null,null,15,null,null,null,null,null,null,750959,null,null,225,29,55097,46,null,null,null,49,3807,2779,null,533,null,35,null,null,673146,3856843,null,75924,null,null,null,null,6,null,null,null,null,null,952267,null,null,null,null,null,null,null,null,null,null,293,80,null,null,15483280,368493,null,null,2545,null,null,4398,80,0,98496,4,null,null,"Queensland - Outback",null,944,188057,2618,null,null,null,196,null,null,null,5323,null,null,null,null,null,298,null,null,null,3580,null,null,null,null,1517,null,null,null,null,8,null,null,117,null,29099,null,2153573,252884,null,1759,1970,0,null,378191,null,null,null,null,3717,100,null,null,7075,37,null,500,null,null,4846,null,null,1051,642922,null,1,null,257,null,null,null,344892,211,null,47,null,736780,null,null,218,null,null,80,null,10197,null,null,null,2545,3,133,44,76,18874,2359353,null,null,null,null,null,null,33,null,null,null,1,9647,null,256540,4250,null,null,null,36726,null,null,5781,6725,534621,80,null,null,2011,502,null,15123,null,488,null,null,2742,2545,null,null,null,57,null,null,null,5761,null,null,null,null,null,1,31,null,3,null,null,null,223,null,null,3,324302,null,null,249181,null,null,993320,null,null,218,32,1970,null,null,null,null,121046,null,null,2643,null,44,null,3,null,1250,"315",46,27,null,null,null,null,null,null,null,null
68,524,null,15,null,null,null,35,null,null,2141,72,null,825,65,null,3234,null,32,29,null,null,null,null,5064,null,null,null,null,680,null,null,null,24910,null,null,null,24625,null,107027,null,null,null,null,null,12,null,null,33936,null,3,4,null,null,null,null,null,7463,2754,null,942,null,null,null,null,null,null,null,690,null,null,4800,1200,285,null,null,null,null,null,8,null,null,12,null,49,152,null,null,10697,null,null,null,57025,163,null,1,57025,null,10,null,36473,null,null,68000,null,null,null,null,null,null,null,13867,null,null,123,null,911,61,283310,null,null,3,null,null,null,70,16622,null,null,null,"Sunshine Coast",559,null,null,null,null,680,null,3600,null,0,8106,null,null,null,null,null,null,4,null,null,null,null,null,null,68000,null,null,null,null,100,null,null,null,0,null,null,24,null,2156,null,null,null,806,null,892,null,null,3,3933,null,413,30,null,null,null,null,99,null,null,null,8,7,23252,null,3060467,null,null,null,10,38614,null,null,29772,null,null,8,291,null,null,84578,null,null,null,null,null,null,null,null,153,null,null,null,null,null,null,null,null,3792129,null,null,55,null,null,null,89,null,null,30,null,17326,424,null,null,42,24,null,null,null,null,null,null,100,null,null,null,null,1458,null,null,null,null,null,null,13150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13867,118,null,null,null,61,null,null,null,97,null,null,null,null,null,8,515,null,null,null,null,null,null,null,null,null,8,null,null,null,null,"316",null,null,4,null,null,null,null,21866,null,null
