exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_2_p, households_by_type_census_lone_person_households_num, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_4_a, dwelling_structure_private_dwellings_census_separate_house_num, families_type_census_couple_families_non_dependent_children_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_nvr_mrrd_pc, method_travel_work_employed_persons_census_used_one_total_num, tenure_type_occupied_private_dwellings_census_owned_mortgage_pc, sa2_name_2016, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_3_p, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_nm, dwlng_strce_prvte_dwlngs_cns_smi_dtch_rw_trce_hse_twnhse_etc_nm, method_travel_work_employed_persons_census_worked_home_num, acs_intr_hme_ocpd_prvte_dwlngs_cns_to_at_indqtly_dscrb_std_pc, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_spre_nm, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_crd_chldchldrn_pc, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_edctn_ocptn, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_mrrge_nm, rent_mortgage_payments_census_average_monthly_household_payment, method_travel_work_employed_persons_census_used_one_truck_num, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_rltve_dsvntg, method_travel_work_employed_persons_census_used_one_train_num, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_1_d, dwelling_structure_private_dwellings_census_stated_num, gftsdntns_rprtd_txpyrs_yr_endd_30_jne_prsns_nm, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_pssngr_nm, households_by_type_census_total_households_num, method_travel_work_employed_persons_census_total_used_one, families_by_type_census_couple_families_without_children_num, hshld_strss_cnss_hshlds_mrtgge_rpymnts_lss_30pc_incme_pc, mthd_trvl_wrk_emplyd_prsn_cns_ple_trvld_to_cr_drv_psngr_nm, scl_mrtl_st_rgstd_prsn_agd_15_yrs_cns_mrd_de_fcto_mrge_nm, method_travel_work_employed_persons_census_used_one_taxi_num, dwelling_structure_private_dwellings_census_flat_apartment_num, method_travel_work_employed_persons_census_used_one_bicycle_num, commuting_work_census_average_distance_to_place_kms, fmls_type_cnss_one_prnt_chldrn_15_andr_dpndnt_stdnts_nm, hshld_strss_cnss_hshlds_rnt_pymnts_grtr_eql_30pc_incme_pc, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_scre_nt_a, hshld_strss_cnss_hshlds_mrtgge_rpymnts_grtr_eql_30pc_incme_pc, mthd_trvl_wrk_emplyd_prsns_cnss_pple_trvlld_to_pblc_trnsprt_nm, method_travel_work_employed_persons_census_used_one_tram_num, homelessness_census_homeless_rate_per_10000_persons_rate, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_sttd_pc, giftsdonations_reported_by_taxpayers_year_ended_30_june_median, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rltve_dsvn, accss_intrnt_hme_occpd_prvte_dwllngs_cnss_accssd_dwllng_pc, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_prvde_pc, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_wdwd_pc, tenure_type_occupied_private_dwellings_census_owned_outright_pc, method_travel_work_employed_persons_census_used_one_ferry_num, households_by_type_census_average_household_size_no_of_persons, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_kms, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_pc, method_travel_work_employed_persons_census_used_one_bus_num, tenure_type_occupied_private_dwellings_census_stated_pc, hsng_stblty_occpd_prvte_dwllngs_cnss_extra_bdrms_ndd_nm, families_by_type_census_average_family_size_no_of_persons, unpd_wrk_prsns_agd_15_yrs_cnss_undrtkng_vlntry_orgnstn_grp_pc, commuting_work_census_median_distance_place_usual_residence_kms, fmls_type_cnss_cple_chldrn_15_andr_dpndnt_stdnts_nm, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_mtr_bksctr_nm, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_ndd_spre_nm, method_travel_work_employed_persons_census_go_to_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_sprtd_pc, tenure_type_occupied_private_dwellings_census_tenure_type_pc, dwelling_structure_private_dwellings_census_other_dwelling_num, unpd_wrk_prsns_agd_15_yrs_cnss_prvdd_assstnce_prsn_a_dsblty_pc, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rsc_ir, method_travel_work_employed_persons_census_used_one_walked_num, method_travel_work_employed_persons_census_used_one_method_num, families_by_type_census_total_families_num, tenure_type_occupied_private_dwellings_census_rented_pc, households_by_type_census_group_households_num, rnt_mrtgge_pymnts_cnss_avrge_mnthly_hshld_rntl_pymnt, families_type_census_one_parent_non_dependent_children_num, count_children_family_census_average_number_of_all_in_num, method_travel_work_employed_persons_census_of_stated_num, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_rltve_advntg, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_and_pc, households_by_type_census_family_households_num, sa2_maincode_2016, dwelling_structure_private_dwellings_census_total_num, method_travel_work_employed_persons_census_total_employed_num, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rltve_advn, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_dvrcd_pc, families_by_type_census_other_families_num, acs_intr_hme_ocpd_prvte_dwlngs_cns_acsd_dwlng_pc, commuting_work_census_median_distance_to_place_kms, hshld_strss_cnss_hshlds_rnt_pymnts_lss_30pc_incme_pc, sco_ecnmc_indxs_ars_sfa_stte_dcls_cnss_dcle_rnkng_indx_rsrcs_ir, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_pc, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_drvr_nm, yr, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_edctn_ocpt
null,null,null,null,null,null,null,null,"Bentleigh - McKinnon",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4832,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208021174",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Caulfield - North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5132,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,300,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208021177",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Caulfield - South",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3934,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208021178",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Hughesdale",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1477,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208021180",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Murrumbeena",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2044,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208021181",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Ormond - Glen Huntly",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2727,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208021182",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Bentleigh East (North)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2926,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208021426",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Endeavour Hills - South",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2608,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212021454",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Bentleigh East (South)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2647,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208021427",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Braeside",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208031184",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Carrum - Patterson Lakes",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2405,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208031185",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Chelsea - Bonbeach",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208031186",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Cheltenham - Highett (East)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4691,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208031188",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Eltham",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5580,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209031209",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Hurstbridge",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,832,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209031210",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Edithvale - Aspendale",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2926,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208031189",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Kinglake",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,688,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209031211",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Panton Hill - St Andrews",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1015,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209031212",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Moorabbin - Heatherton",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1726,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208031191",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Mentone",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2831,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,135,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208031190",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Plenty - Yarrambat",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2204,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209031213",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Research - North Warrandyte",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1438,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209031214",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Mordialloc - Parkdale",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4424,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,135,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208031193",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Tullamarine",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1622,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"210051250",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Bundoora - East",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1986,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209011196",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Greensborough",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4931,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209011197",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Ivanhoe",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2963,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,168,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209011200",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Viewbank - Yallambie",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209011203",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Malvern - Glen Iris",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4932,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,240,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208041194",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Craigieburn - North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2557,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"210051442",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Airport West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1996,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"210011226",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Malvern East",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4701,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208041195",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Watsonia",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209011204",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Kingsbury",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1801,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209021205",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Reservoir - East",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4858,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209021207",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Reservoir - West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4541,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209021208",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Heidelberg - Rosanna",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3455,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209011198",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Keilor East",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5901,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"210011229",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Niddrie - Essendon West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1849,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"210011230",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Heidelberg West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2483,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209011199",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Riddells Creek",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1161,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,85,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"210021234",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Romsey",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2315,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,85,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"210021235",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Ivanhoe East - Eaglemont",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1861,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,240,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209011201",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Montmorency - Briar Hill",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3954,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209011202",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Preston - East",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4092,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209021428",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Preston - West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2810,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,122,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209021429",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Bundoora - West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209041217",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Lalor",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3807,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209041219",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Wallan",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4510,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209041224",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Whittlesea",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1660,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209041225",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Wattle Glen - Diamond Creek",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3555,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,97,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209031215",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Doreen",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5147,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209041430",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Bundoora - North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1452,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209041216",null,null,null,null,null,null,null,null,null,null,null,2018,null
